company_name,job_type,job_name,description,qualifications
Klarity,Unknown,Jr. AI Front-end Engineer,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
Resonance,Unknown,Front End Engineer,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
Hadrian,Unknown,Frontend Software Engineer,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
Backpack,Unknown,Frontend Engineer,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
The Agora Companies,Unknown,Junior Front End Developer,Extracted via local fallback parser (LLM unavailable).,Front-End Engineer
Tinder,Unknown,LinkedIn,Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
Tinder,Unknown,Backend Engineer Intern,Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
Apple,Unknown,Software Engineer - Early Career (Backend/Data),Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
Notion,Unknown,"Software Engineer, Fullstack, Early Career",Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
TwelveLabs,Unknown,"Senior Backend Software Engineer, Rodeo",Extracted via local fallback parser (LLM unavailable).,Back-End Engineer
Notion,Unknown,"Software Engineer, Fullstack, Early Career",Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
OffDeal,Unknown,Full Stack Engineer (New Grad),Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
Apple,Unknown,Full Stack Software Engineer,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
Apple,Unknown,Software Engineer - Early Career (Backend/Data),Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
Apple,Unknown,Full-Stack Software Engineer,Extracted via local fallback parser (LLM unavailable).,Full-Stack Engineer
Notion,Unknown,"Software Engineer, Mobile Platform (Android)",Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
"Helena, MT",Unknown,Mobile App Developer,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
"Helena, MT",Unknown,Veracity Software Inc,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
Reconstruct Inc,Unknown,Mobile App Developer,Extracted via local fallback parser (LLM unavailable).,Mobile Engineer
