company_name,job_type,job_name,description,qualifications,normalized_skills,unmatched_skills,skill_count,is_noise_row
Resonance,Unknown,Front End Engineer,"About Us

Resonance is building a more sustainable and valuable fashion industry for designers, brands, manufacturers, consumers, and the planet. The company’s AI-powered operating system ONE enables Brands to Design, Sell and Make in that order, empowering designers to operate with no unnecessary inventory—eliminating the financial and environmental burdens of the legacy fashion industry.

Headquartered in New York City and Santiago, Dominican Republic, Resonance has partnered with more than 30 brands, including THE KIT and Rebecca Minkoff to create garments that use 97% less dye, 70% less water, and 50% less material than any other fashion brand—and immediately eliminate overproduction.

Want to know more? Visit our website and read articles about us.

About The Role

We’re looking to add a front-end software engineer to our team to report directly to our technical cofounder and CEO, Christian Gheorghe and rapidly build interactive user experiences and interfaces for our brands designing, selling and operating on our self-sufficient digital product ONE. This role engages across product management, platform engineering and design. Individuals in this role supercharge our ability to rapidly ship new experiences and learn from live users.

Responsibilities Include


Build best in class user experiences for highly visual, creative users across a myriad of functions including: 3D design, e-commerce/channel selling systems, planning tools, and more.
Scope, design and lead implementation of technical projects, laying groundwork for early-stage products to iteratively evolve and scale.
Ensure UI components and libraries are reliable, secure and accessible.
Independently and collaboratively solve UI/UX design problems, including debugging for long term stability.


You may be a good fit if the following describes you:

You’re a coder, a hacker, an engineer at heart. You like to create something from nothing. You appreciate beautiful, highly opinionated, custom built, user experiences and design systems. You are intensely curious and desire a role where you collaborate with creators, designers and manufacturers. You have love for analog and digital products, from vinyl LPS to beautiful VR applications.

Requirements

Job Requirements


3+ years of experience developing design systems.
Strong foundation in front-end frameworks, design patterns, data structures, storage systems and web services.
Proficient in web technologies: React, JavaScript, HTML, CSS, modern package bundlers/task runners and testing tools.
Experience with CI/CD pipelines and how to integrate frontend applications in that pipeline.
Experience with Webpack, Storybook, GraphQL, and AWS a plus.
Able to independently solve UI/UX design problems.
Computer Science Background
Comfortable with being given clearly-defined goals but full ownership and responsibility for discovering the path to achieve those goals.
Ability to succeed in a constantly changing, fast-paced environment. Making mistakes means we are learning, and you welcome actively seeking ways to grow


Benefits


We offer full benefits (medical, dental, and vision), a competitive salary and equity
Resonance Companies is an equal opportunity employer and values diversity in our company. We do not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status, or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.",Front-End Engineer,AWS|CI/CD|CSS|DEBUGGING|GRAPHQL|HTML|JAVASCRIPT|OPERATING SYSTEM|REACT|WEBPACK,,10,0
Hadrian,Unknown,Frontend Software Engineer,"Hadrian - Manufacturing the Future

Hadrian is building autonomous factories that help aerospace and defense companies manufacture rockets, satellites, jets, and ships up to 10x faster and up to 2x cheaper. By combining advanced software, robotics, and full-stack manufacturing, we are reinventing how America produces its most critical parts.

Valued at $1.6B, we’re accelerating our mission with the launch of Factory 3 in Mesa, Arizona, a 290,000-square-foot facility creating 350 new jobs. We are expanding rapidly to support thousands of future hires, launching Hadrian Maritime to expand into naval production, and introducing a Factory-as-a-Service model that delivers complete systems instead of individual parts.

Hadrian is backed by leading investors including T. Rowe Price, Lux Capital, Founders Fund, and Andreessen Horowitz, our fast-growing team is united around reindustrializing American manufacturing for the 21st century and beyond.

The Role

Candidates for this role could end up working with a number of our internal products and teams:

Flow is Hadrian’s FactoryOS, our core platform comprised of a variety of applications that model, manage, and automate an extremely complex network of factories.

Copilot is our suite of manufacturing automation products which automates or accelerates key processes within the factory including quoting, CAM programming, and CMM programming.

Factory Automation develops robotic cells for use in our factories and the software that controls them.

We have a broad set of applications internally. Candidates interested in redefining manufacturing software will have ample opportunity to do so.

What You’ll Do


Scope, architect, implement, and deploy critical applications across multiple product verticals.
Engage in product discovery alongside experts in manufacturing and software- help define what needs to exist and what needs to be better.
Build alongside an incredible team of engineers and operators.


What We’re Looking For


Expert in TypeScript and frontend web development, ideally using React and related state management solutions. Deep understanding of the frontend ecosystem.
Strong ability and desire to write high quality code and maintain a high quality codebase.
API design experience (REST & gRPC).
Know how to develop, deploy, and maintain fullstack applications using a modern web stack.
Bias towards action and take pride in your work.
Excited to work in a fast-paced environment with high-stakes and quick iteration cycles.


What Will Set You Apart


Have great product intuition and user empathy. You enjoy talking to users.
Have a strong sense of design and execute at a high level with or without design support.
Comfortable jumping into different areas of our stack as needed: Go, Python, C#, C++, etc.
Have experience with data visualization, video games, CAD/CAM software, or 3D environments.
Have demonstrated success with developing and deploying high performance web applications.


Compensation

For this role, the target salary range is $120,000 - $250,000 (actual range may vary based on experience).

This is the lowest to highest salary we reasonably and in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range, and the range may be modified in the future. An employee's pay position within the salary range will be based on several factors, including, but not limited to, relevant education, qualifications, certifications, experience, skills, geographic location, performance, and business or organizational needs.

Benefits


Medical, dental, vision, and life insurance plans for employees
401k
Relocation support may be provided for certain situations, based on business need.
Flexible vacation policy


ITAR Requirements

To conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.

Hadrian Is An Equal Opportunity Employer

It is the Company’s policy to provide equal employment opportunity for all applicants and employees. The Company does not unlawfully discriminate on the basis of race inclusive of traits historically associated with race (including, but not limited to, hair texture and protective hairstyles, such as braids, locks and twists), color, religion, sex (including pregnancy, childbirth, or related medical conditions), gender identity, gender expression, transgender status, national origin (including, in California, possession of a drivers license), ancestry, citizenship, age, physical or mental disability, height or weight, medical condition, family care status, military or veteran status, marital status, domestic partner status, sexual orientation, genetic information, exercise of reproductive rights, any other basis protected by local, state, or federal laws, or any combination of the above characteristics. When necessary, the Company also makes reasonable accommodations for disabled candidates and employees, including for candidates or employees who are disabled by pregnancy, childbirth, or related medical conditions.",Front-End Engineer,C#|C++|GO|GRPC|PYTHON|REACT|STATE MANAGEMENT|TYPESCRIPT,,8,0
The Agora Companies,Unknown,Junior Front End Developer,"Do you enjoy refining and improving existing systems? Do you take pride in making small optimizations that add up over time?

An Agora company is looking for a Junior Front-End Developer who thrives in structured workflows and is intrinsically motivated to improve performance, usability, and efficiency.

This role focuses on improving and maintaining existing marketing pages and funnels. The right person finds optimization engaging and takes ownership of consistent daily output.

Responsibilities


Create and update static HTML pages using HTML, CSS, JavaScript, and Bootstrap
Refine and improve existing templates and marketing funnels
Troubleshoot and clean up HTML, CSS, and JavaScript
Optimize pages for responsiveness, accessibility, and speed
Manage development tickets from Marketing and Creative teams
Identify and implement improvements to workflows and templates


What Success Looks Like


Consistent, high-quality output within expected timeframes
Independent problem-solving and self-management
Continuous improvement of templates and processes
Strong attention to detail and code quality


Qualifications


HTML, CSS, JavaScript experience required
Strong understanding of responsive, mobile-first development
1–2 years of front-end experience preferred
Degree in a related field is a plus, but not required
Ability to debug and troubleshoot independently
Self-motivated and accountable


Compensation Range – $68,000 - $75,000 USD

Location(s) & Work Arrangement – Mt Vernon, Baltimore / Hybrid (3 days in office/2 days remote)

Who are we?

The Agora Companies service 10+ affiliated publishing groups all around world. These publishing groups are focused on developing information and products that help individuals control their own destiny when it comes to matters of finance, health and lifestyle.

We believe strongly in nurturing and developing our team members and don’t just hire to fill gaps. We see every individual as crucial to success of our mission and purposefully create opportunities for them to grow along with the organization.

What We Offer

We offer a wide variety of benefits, programs, and services to our employees, including:


Medical, vision, and dental insurance plans
401(k) plan with employer matching
Generous vacation time and paid holidays
Casual dress code
Highly flexible environment",Front-End Engineer,ACCESSIBILITY|CSS|HTML|JAVASCRIPT,,4,0
NVIDIA,Unknown,Frontend Web Applications Software Engineer,"The NVIDIA Operations organization is seeking an experienced software engineering professional for the position of Frontend Web Applications Software Engineer. As a member of our team, you will be an integral part of building cloud-based data platforms! You will support initiatives for the Data Platform, Reporting, and Analytics. Your work will turn data into information leading to insights and business results.

What You’ll Be Doing


Developing a modern, TypeScript‑based data analytics web application: architecting complex UI flows, implementing advanced data visualizations, and collaborating across teams to deliver a high‑performance internal analytics platform.
Crafting responsive, accessible, and visually compelling UI experiences.
Collecting requirements and collaborating with end users to ensure workflows and interfaces meet their needs.
Optimizing frontend performance and scalability.
Working closely with product engineers and backend engineers to deliver flawless user experiences.


What We Need To See


BS (or equivalent experience)
5+ years of relevant frontend development experience
Proven knowledge of Modern JavaScript/TypeScript and modern frontend frameworks (Vue preferred, or React or Angular and Nuxt for SPA/CSR)
Strong skills in HTML5, CSS3, SASS and responsive design.
Deep experience with Plotly.js or comparable interactive charting libraries (e.g., ECharts, Vega‑Lite, D3‑based tools).
Node.js ecosystem & build tooling: yarn/npm, Vite/Rollup/Webpack
Experience building and maintaining large-scale web applications with high usability standards.
Solid understanding of browser rendering, performance optimization, and accessibility best practices.


Ways To Stand Out From The Crowd


Prior background with Semiconductor manufacturing and operations is a huge plus.
Prior experience with developing web applications in Cloud (AWS preferred)
Experience with data analytics using relational databases such as Postgres and proficiency with SQL


Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. The base salary range is 140,000 USD - 224,250 USD for Level 3, and 168,000 USD - 270,250 USD for Level 4.

You will also be eligible for equity and benefits.

Applications for this job will be accepted at least until March 15, 2026.

This posting is for an existing vacancy.

NVIDIA uses AI tools in its recruiting processes.

NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.

, , JR2010044",Front-End Engineer,AI|ANGULAR|AWS|ACCESSIBILITY|D3.JS|JAVASCRIPT|NODE.JS|POSTGRESQL|REACT|RELATIONAL DATABASES|ROLLUP|SQL|SASS|TYPESCRIPT|VUE|VITE|WEBPACK|NPM|YARN,,19,0
Laminar (Formerly H2Ok Innovations),Unknown,Jr. Front-End Engineer,"At Laminar (formerly H2Ok Innovations), we're leading the charge in cleantech innovation, reshaping process industrials and manufacturing to drive operational efficiency and sustainability for our world’s most foundational industries. Powered by our Laminar AI Co-pilot models and state-of-the-art sensors, our solutions optimize facility performance across various processes, including process manufacturing, production, water management, energy reduction, and waste minimization. Based at Greentown Labs, North America's premier cleantech innovation community, we're a woman-founded startup backed by renowned investors like Greycroft, Construct Capital, 2048 Ventures, and Flybridge Capital. Our groundbreaking technologies have earned accolades and adoption from industry giants like Unilever, The Coca-Cola Company, ABinBev, and Mitsubishi Electric. We're committed to unlocking untapped data for our customers, empowering them to gain a competitive edge and create Industry 4.0.

Transforming our most foundational sectors of society is hard. Very hard. But we’re building an empire. And empire building is not easy. It’s deeply fulfilling, and you will learn and grow tremendously while driving sustainable impact globally with some of the largest players that make everything we eat, use, and wear. Our culture is to foster extraordinary growth within our teammates. We believe in autonomy, ownership, empowerment, demanding excellence, being mission-driven. We believe in creativity, authenticity, and extraordinary growth. We’re looking for relentless, ambitious, creative, and exceptional people to join our team and build the factory of the future.

As our company scales, we're seeking a Front-End Engineer to join our software team. In this role, you will work across the entire stack to develop new visualization features, enhance user experience, and support customer integrations for Laminar Insights, our client-facing application for custom data analytics. This is an excellent opportunity to collaborate with a small, close-knit team and make a significant impact on our users. Since we are a small team, we’re constantly picking up new challenges and really value engineers who can spot a problem and just get it done. If you are someone who gets excited about uncovering new ways to drive product adoption on the web, improving user experience, and personalizing, we would love to hear from you.

What You Will Do


Improve and build new features for Laminar Insights: Ideally (and we hope this comes naturally to you), this would involve working backwards from the desired user experience to the set of technologies that enable it. You will be gathering requirements, planning, ideating, and finally implementing across the frontend, backend, and anything in between. An exciting new avenue we are exploring is adding AI/LLM-based features to Laminar Insights. You will prototype, design, and build new interaction paradigms that this new technology enables
Influence and maintain Laminar’s backend: Work with other engineers to contribute to the design, implementation, and maintenance of Laminar’s backend API server and database that powers the frontend, ensuring it meets high-security standards and is scalable
Build automation tools & CI/CD pipelines: You believe in the power of automation and CI/CD pipelines and work across the software team to introduce and scale software best practices with automated pipelines. This includes, but is not limited to, building testing suites and deployment scripts to provision infrastructure (experience with tools like Terraform GitHub Actions is a plus, but curiosity and willingness to learn are even better)





About You


Proven ability to consistently deliver high volumes of robust, production-quality software efficiently within complex systems, or demonstrated potential to operate at this level
Experience building complex web apps; proficiency with Next.js is highly desirable
Proficiency in Typescript, TailwindCSS, and visualization libraries (like Recharts) is a bonus
You’re opinionated on the roadmap and future of the product, and are willing to make decisions on priorities and what to work on
1-2 years of experience
You critically evaluate features, are less loyal to features you have shipped in the past, and aren’t afraid to pivot when something isn’t working
Production experience in AWS, Azure, or GCP is helpful
Strong written and verbal communication skills





Benefits


Direct impact on product and culture
Dynamic and inclusive work environment
Opportunities for growth and professional development
Access to Greentown Labs' extensive network of cleantech startups





Learn How We Think


Learn about our startup journey: Our Journey
How we're combating climate change: AI-Powered Climate Tech





Why Laminar (formerly H2Ok Innovations)?
Impact: Work on cutting-edge AI and sensor tech that’s already transforming how factories use water, energy, and chemicals. Join a tight-knit, ambitious team where your contributions can reshape the industry.

Growth: Join a fast-growing startup where you’ll have the opportunity to shape our content strategy. We value fostering extraordinary growth in our teammates.

Innovative Culture: Work in a high-performance environment that values empowerment, creativity, ownership, autonomy, innovation, excellence, passion, and continuous growth.

Sustainability Focus: Play a key role in promoting sustainability and Industry 4.0 advancements in manufacturing.

Build the intelligence layer powering the next generation of industrial efficiency – with a team that moves fast and delivers real impact.

Our Interview Process


Phone screen with Laminar Head of Ops or Recruiter (15-20 minutes)
Intro call with Hiring Manager (30 minutes)
On-site interview, including short tour of GTL, overview of tech, and interview/presentation with the Hiring Manager and a few team members. Depending on the role, a skills exercise that should take no longer than an hour to prep, would be sent ahead of time. We record your skills exercise to share with any team members who could not join the interview and/or with Founder's ahead of their Founder's Interview. If you are not local, we can conduct this virtually
Finalists for Full-Time positions will have a Founder’s Interview in-person





Final steps:

Two professional references are requested, ideally one from your current organization and one who served as your Manager

If an Offer Letter is extended, a Background check is conducted

A recent study from LinkedIn showed that most women apply to jobs only when they meet 100% of the requirements, whereas men will hit the apply button if they hit 60%. Laminar (formerly H2Ok) is committed to building a diverse and inclusive team. So, to the women and nonbinary folks out there feeling unsure if you're a perfect fit, we strongly encourage you to apply! If you're ready to play a key role in scaling a game-changing company that’s transforming the industrial sector and advancing sustainability, we want to hear from you!



We recently updated our domain to runlaminar.com. Please ensure you add the runlaminar.com domain to your safe senders list to ensure you receive our communications





We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.

Our pay ranges are established per Pave Compensation Software. We’re also proud to offer equity in our fast-growing startup and one of the most comprehensive benefits packages among startups at our stage. Laminar pays 100% of the individual health insurance premium for HMO medical, vision, and dental, offers flexible PTO, a $90/month transportation benefit, a $65/month health and wel",Front-End Engineer,AI|AWS|AZURE|CI/CD|COMMUNICATION SKILLS|GCP|GITHUB|GITHUB ACTIONS|NEXT.JS|TERRAFORM|TYPESCRIPT,,11,0
Credit Karma,Unknown,Front End Software Engineer - All Levels,"Intuit Credit Karma is a mission-driven company, focused on championing financial progress for our more than 140 million members globally. While we're best known for pioneering free credit scores, our members turn to us for everything related to their financial goals, including identity monitoring, applying for credit cards, shopping for insurance and loans (car, home and personal) and savings accounts and checking accounts* – all for free. Credit Karma has grown significantly through the years: we now have more than 1,700 employees across our offices in Oakland, Charlotte, Culver City, San Diego, London, Bangalore, and New York City.
*Banking services provided by MVB Bank, Inc., Member FDIC

As a front end software engineer on our product engineering team, you'll get to lead a growing team at Credit Karma that works across various verticals (home, auto, personal loans, and credit cards). You'll impact a platform that is responsible for handling millions of members accessing their Credit Karma accounts, including registration, login, SMS 2FA, and account recovery.  Further, you’ll help build product experiences that guide our members through the most challenging financial decision of their lifetime: buying their dream home. From finding a realtor, understanding loan options, and applying to get pre-approved, we help our members every step of the way. There is an enormous opportunity to build things at scale, move fast, and have a high impact across many different products, including our Core product, Auto, Mortgage and Assets.

What you’ll do:

Develop features and improvements for the various consumer facing products at Credit Karma using React and Typescript
Develop, maintain and advocate Frontend code quality standards and best practices. Teach and reinforce these principles through code review
Solve technical problems of the highest scope and complexity for the team. Serve as a technical leader, resource, and mentor for the other members of the Frontend Engineering team

What’s great about the role:

Impact our business is experiencing explosive growth and we are actively growing the team to improve and expand our product portfolio
We are solving BIG problems that are fundamentally changing old industries 
Opportunity to meaningfully improve the lives of our members
Fast-paced environment that operates like a ‘start-up’ within Credit Karma

Minimum Basic Requirements:

Programming experience with a focus on front end development
Experience in at least one relevant front-end framework (React, Typescript, Node, JavaScript)
Experience in microservices architecture, messaging patterns, and deployment models
Experience in API design and building robust and extendable client/server contracts.

Preferred Qualifications: 

Proficient in TypeScript
Experience with GraphQL
Ability to mentor, teach and coach early career team members
Strong command of modern HTML and CSS
A solid foundation in OOP, design patterns, algorithms, programming languages
Experience with A/B testing
Experience building highly integrated and testable systems
Strong communication and leadership abilities.
Experience with Agile/Scrum practices.
Bachelor’s or Masters degree in Computer Science, Engineering, Computer Information Systems, Mathematics, Physics, or a related field or software development training program

Equal Employment Opportunity:

Credit Karma is proud to be an Equal Employment Opportunity Employer. We welcome all candidates without regard to race, color, religion, age, marital status, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity or gender expression, national origin, veteran or military status, disability (physical or mental), genetic information or other protected characteristic. We prohibit discrimination of any kind and operate in compliance with applicable fair chance laws. 

Credit Karma is also  committed to a diverse and inclusive work environment because it is the right thing to do. We believe that such an environment advances long-term professional growth, creates a robust business, and supports our mission of championing financial progress for everyone. We offer generous benefits and perks with a single eye to nourishing an inclusive environment that recognizes the contributions of all and fosters diversity by supporting our internal Employee Resource Groups. We’ve worked hard to build an intensely collaborative and creative environment, a diverse and inclusive employee culture, and the opportunity for professional growth. As part of the Credit Karma team, your voice will be heard, your contributions will matter, and your unique background and experiences will be celebrated.

Privacy Policies:

Credit Karma is strongly committed to protecting personal data. Please take a look below to review our privacy policies:

GDPR Privacy Policy
U.S. Job Applicant Privacy Notice",Front-End Engineer,A/B TESTING|AGILE|CSS|GRAPHQL|HTML|JAVASCRIPT|MICROSERVICES|MATHEMATICS|OOP|REACT|SCRUM|TYPESCRIPT,,12,1
DataAnnotation,Unknown,Frontend Web Developer,"We are looking for a Frontend Web Developer to join our team to train AI models. You will measure the progress of these AI chatbots, evaluate their logic, and solve problems to improve the quality of each model.

To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language (JavaScript, Python, C#, C++, HTML, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.

Benefits


This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly starting at $40+ USD per hour, with bonuses on high-quality and high-volume work


Responsibilities


Give AI chatbots coding challenges and evaluate their outputs
Evaluate the quality produced by AI models for correctness and performance


Qualifications


Fluency in English (native or bilingual level)
Detail-oriented
Experience with algorithms, data structures, and debugging workflows
A current, in progress, or completed Bachelor’s degree is preferred but not required


Notes

Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. Only applicants in the United States will be considered for this role. This is an independent contract position.

#coder",Front-End Engineer,AI|C#|C++|DEBUGGING|HTML|JAVASCRIPT|PYTHON|SQL|SWIFT,,9,0
AppSierra,Unknown,Front End Developer,"Responsibilities


Develop and maintain web applications using AngularJS, ReactJS, and VueJS frameworks.
Collaborate with designers and back-end developers to create seamless user experiences.
Implement AI-driven functionalities to improve application performance and user engagement.
Optimize applications for maximum speed, scalability, and maintainability.
Write clean, maintainable code and conduct code reviews to ensure quality standards are met.
Troubleshoot and debug applications to enhance performance and usability.
Stay updated with emerging trends, technologies, and best practices in front-end development.


Requirements


Proven experience in front-end development with AngularJS, ReactJS, and VueJS.
Strong understanding of AI concepts and their application in web development.
Proficiency in using Webpack and Babel for module bundling and JavaScript transpiling.
Experience with RESTful APIs and asynchronous request handling.
Knowledge of HTML, CSS, and JavaScript, with a focus on modern ES6+ features.
Familiarity with version control systems such as Git.
Ability to work collaboratively in a team environment and communicate effectively.",Front-End Engineer,AI|ANGULAR|CSS|HTML|JAVASCRIPT|REACT|REST API|VUE|VERSION CONTROL|VERSION CONTROL SYSTEMS|WEBPACK,,11,0
Halliday,Unknown,Front End Engineer,"Join LinkedIn
Email
Password (6+ characters)

By clicking Agree & Join, you agree to the LinkedIn User Agreement, Privacy Policy, and Cookie Policy.

Agree & Join
or

Already on Linkedin? Sign in

LINKEDIN

LinkedIn is better on the app

Don’t have the app? Get it in the Microsoft Store.

Open the app",Front-End Engineer,,,0,1
MissionStaff,Unknown,Front-End Developer,"We connect top talent in Business Services, Tech, Marketing & Creative with companies of all sizes—offering flexible, high-touch staffing solutions. We are currently filling the following contract job for our client.

Front-End Developer

Overview:

Join a forward-thinking team as a Front-End Developer, where you will play a pivotal role in building high-performance, accessible, and visually stunning web applications. If you thrive in a collaborative environment and are passionate about creating seamless digital experiences, this is the perfect opportunity to showcase your expertise in modern JavaScript frameworks and innovative CSS solutions. Your work will directly impact how users interact with our platform, ensuring optimal speed, accessibility, and responsiveness across all devices and browsers.

Required Skills:


Bachelor’s degree in Computer Science, Software Engineering, or equivalent professional experience
3+ years of front-end development experience with strong JavaScript fundamentals
Proficiency in React JS, HTML5, CSS3, and modern JavaScript (ES6+)
Experience with Next JS and server-side rendering methods
Strong understanding of responsive design principles and CSS frameworks, especially Tailwind CSS
Experience with Git and collaborative development workflows
Knowledge of web performance optimization and cross-browser compatibility
Excellent problem-solving skills and attention to detail
Effective communication skills and ability to work within cross-functional teams


Nice to Have Skills:


Experience with TypeScript for type-safe JavaScript development
Familiarity with testing frameworks such as Jest, React Testing Library, Cypress
Knowledge of CSS-in-JS solutions, Sass, Less, or other preprocessors
Experience integrating headless CMS and working within JAMstack architecture
Understanding of SEO best practices and web accessibility standards
Exposure to mobile-first development and Progressive Web Apps (PWAs)
Basic understanding of backend technologies and full-stack development
A strong portfolio demonstrating front-end projects emphasizing code quality, performance, and user experience


Preferred Education and Experience:


Bachelor’s degree in a relevant technical field
At least 3 years of professional front-end development experience using modern tools and frameworks


MissionStaff is an equal opportunity employer. Please note that we do not accept unsolicited resumes from third-party recruiters or agencies. Additionally, candidates must be U.S. citizens or Permanent Residents to be considered for this position.",Front-End Engineer,ACCESSIBILITY|CSS|COMMUNICATION SKILLS|CYPRESS|GIT|JAVASCRIPT|JEST|PWAS|REACT|RESPONSIVE DESIGN|SASS|TYPESCRIPT|TAILWIND|TAILWIND CSS,,14,0
