company_name,job_type,job_name,description,qualifications
Klarity,Unknown,Jr. AI Front-end Engineer,"Experience: 1-2 years of shipping production code (or exceptional new grads with strong portfolios)

Location: San Francisco / Bay Area (Relocation assistance available)

Job Type: Full-time

About Klarity

Klarity (YC S18) is building multimodal AI agents that replace how Fortune 500s understand and transform their operations.

Big companies pay consultants millions to document processes and analyze operations. It takes months and goes stale immediately. We built multimodal AI agents that do it continuously. OpenAI, Google, DoorDash, ServiceNow and many others are using Klarity to replace that entire process.

We shipped GPT-4 document chat within 12 hours of OpenAI's launch. We believe speed and quality happen together when you're thoughtful about how you build.

The Role

We are looking for a junior AI Front-end Engineer who wants to learn at the intersection of product design and frontend engineering. You care deeply about craft and have strong frontend fundamentals, but you're early in your career and hungry to grow. You'll work directly with senior engineers and designers to build AI-native workflows that make complex enterprise tools feel intuitive.

Note: We do not require a CS or Engineering degree. We care about your portfolio, side projects, and your hunger to learn and ship.

Who You Are


Strong frontend fundamentals with design sensibility - You're comfortable with React and have built real projects. You understand the basics of component architecture and care about how things look and feel. You're excited to learn the nuances of performance optimization and advanced patterns.
Familiar with modern web technologies - You've worked with React, TypeScript, and CSS frameworks like Tailwind. You may not have mastered them yet, but you're eager to learn best pra",Front-End Engineer
Resonance,Unknown,Front End Engineer,"About Us

Resonance is building a more sustainable and valuable fashion industry for designers, brands, manufacturers, consumers, and the planet. The company’s AI-powered operating system ONE enables Brands to Design, Sell and Make in that order, empowering designers to operate with no unnecessary inventory—eliminating the financial and environmental burdens of the legacy fashion industry.

Headquartered in New York City and Santiago, Dominican Republic, Resonance has partnered with more than 30 brands, including THE KIT and Rebecca Minkoff to create garments that use 97% less dye, 70% less water, and 50% less material than any other fashion brand—and immediately eliminate overproduction.

Want to know more? Visit our website and read articles about us.

About The Role

We’re looking to add a front-end software engineer to our team to report directly to our technical cofounder and CEO, Christian Gheorghe and rapidly build interactive user experiences and interfaces for our brands designing, selling and operating on our self-sufficient digital product ONE. This role engages across product management, platform engineering and design. Individuals in this role supercharge our ability to rapidly ship new experiences and learn from live users.

Responsibilities Include


Build best in class user experiences for highly visual, creative users across a myriad of functions including: 3D design, e-commerce/channel selling systems, planning tools, and more.
Scope, design and lead implementation of technical projects, laying groundwork for early-stage products to iteratively evolve and scale.
Ensure UI components and libraries are reliable, secure and accessible.
Independently and collaboratively solve UI/UX design problems, including debugging for long term stability.


You may be ",Front-End Engineer
Hadrian,Unknown,Frontend Software Engineer,"Hadrian - Manufacturing the Future

Hadrian is building autonomous factories that help aerospace and defense companies manufacture rockets, satellites, jets, and ships up to 10x faster and up to 2x cheaper. By combining advanced software, robotics, and full-stack manufacturing, we are reinventing how America produces its most critical parts.

Valued at $1.6B, we’re accelerating our mission with the launch of Factory 3 in Mesa, Arizona, a 290,000-square-foot facility creating 350 new jobs. We are expanding rapidly to support thousands of future hires, launching Hadrian Maritime to expand into naval production, and introducing a Factory-as-a-Service model that delivers complete systems instead of individual parts.

Hadrian is backed by leading investors including T. Rowe Price, Lux Capital, Founders Fund, and Andreessen Horowitz, our fast-growing team is united around reindustrializing American manufacturing for the 21st century and beyond.

The Role

Candidates for this role could end up working with a number of our internal products and teams:

Flow is Hadrian’s FactoryOS, our core platform comprised of a variety of applications that model, manage, and automate an extremely complex network of factories.

Copilot is our suite of manufacturing automation products which automates or accelerates key processes within the factory including quoting, CAM programming, and CMM programming.

Factory Automation develops robotic cells for use in our factories and the software that controls them.

We have a broad set of applications internally. Candidates interested in redefining manufacturing software will have ample opportunity to do so.

What You’ll Do


Scope, architect, implement, and deploy critical applications across multiple product verticals.
Engage in product discovery alo",Front-End Engineer
Backpack,Unknown,Frontend Engineer,"About Backpack

Backpack Networks is redefining how buildings create identity and unlock hidden value. At the core of our mission is the Universal Building Identification Number (UBIN) — a unique, verifiable digital identity for every building. Through the Backpack platform, we connect on-site verification with digital system integrations to create a trusted, unified source of truth for building data. From equipment inventories to energy performance and compliance records, Backpack gives building owners, operators, and partners the confidence to make smarter, data-driven decisions. Backpack Networks has assembled a leadership team with proven experience scaling global organizations at the intersection of real estate, infrastructure, technology, and the capital markets — bringing together the expertise needed to transform how the world understands and manages its buildings.




About the Role

At Backpack, we’re building software to reduce the environmental impact of the built world. We’re looking for a frontend engineer who is a strong builder, cares deeply about execution quality, and has experience shipping and maintaining real production systems.

Our frontend is built with TypeScript and React, backed by Rust-based APIs, PostgreSQL, and deployed on Google Cloud. We value clear abstractions, shared foundations, and pragmatic engineering practices that help teams move fast without sacrificing quality.

Our engineers are expected to demonstrate ownership and sound technical judgment forming well-reasoned opinions, communicating tradeoffs clearly, and collaborating effectively while remaining open to feedback and iteration.




Key Responsibilities:

Design, build, and maintain production frontend features and systems
Collaborate closely with Product, Design, and Backen",Front-End Engineer
The Agora Companies,Unknown,Junior Front End Developer,"Join LinkedIn
Email
Password (6+ characters)

By clicking Agree & Join, you agree to the LinkedIn User Agreement, Privacy Policy, and Cookie Policy.

Agree & Join
or

Already on Linkedin? Sign in

LINKEDIN

LinkedIn is better on the app

Don’t have the app? Get it in the Microsoft Store.

Open the app",Front-End Engineer
Tinder,Unknown,Backend Engineer Intern,"Our Mission




As humans, there are few things more exciting than meeting someone new. At Tinder, we’re inspired by the challenge of keeping the magic of human connection alive. With tens of millions of users, hundreds of millions of downloads, 2+ billion swipes per day, 20+ million matches per day, and a presence in 190+ countries, our reach is expansive—and rapidly growing.




We work together to solve complex problems. Behind the simplicity of every match, we think deeply about human relationships, behavioral science, network economics, AI and ML, online and real-world safety, cultural nuances, loneliness, love, sex, and more.




Program Duration

The internship program will run from June 1 through August 28, 2026.




Where you’ll work

This is a hybrid role that requires in-office collaboration three days per week in either Los Angeles or Palo Alto, California.




About the Role

As a Backend Engineer Intern at Tinder, you will partner directly with senior members of the engineering team and be empowered to contribute solutions to Tinder’s backend system. We are deeply invested in improving architecture design, exploring and leveraging new technologies in interesting ways to deliver an app that continues to shape how people connect globally.




What you'll do:
Collaborate across Tinder Engineering on the expansion of our service platform
Develop and operate scalable and resilient distributed services that run on Amazon Web Services (AWS)
Build large scale distributed systems that handle billions of data events a day
Write unit and integration tests. 
Access to cutting-edge Generative AI tools and the opportunity to apply them in real-world engineering work




What we're looking for:
Aspiring backend developer who’s excited to work on large scale challenges wi",Back-End Engineer
Apple,Unknown,Software Engineer - Early Career (Backend/Data),"Summary

At Apple, we believe in the power of technology to enrich people's lives. Everything we build is designed to empower people, including our advertising platform. We deliver ads in a way that benefits both customers and advertisers — helping people discover content, supporting creators, and protecting and respecting everyone’s privacy.

Our technology makes advertising possible on the App Store, Apple News, Stocks, and Apple TV. We help developers and marketers of all sizes drive app discovery across the App Store. Our display ads on Apple News and Stocks let advertisers promote their products alongside trusted content from the world’s best journalists. Sponsorship integrations and experiences in live sports on Apple TV help advertisers connect with passionate fans. Everything we do is with the unwavering commitment to privacy you expect from Apple. Because when advertising is done right, it benefits everyone!

Description

Ads Engineering builds ad tech the Apple way—privacy-preserving, user-centric, and built to scale. Our infrastructure supports massive real-time demand with low latency, precision, and global reach. Our work spans distributed systems, large-scale data infrastructure, LLMs, and Generative AI. We design and build best of breed systems for dealing with our complex and ever-growing platform needs that help deliver highly optimized advertising content to consumers.

We are excited to open applications for an early-career software engineer. This shared hiring process is designed to identify strong entry-level talent for our backend and data engineering teams. Candidates will complete a common interview process focused on core fundamentals and programming ability. Those who advance will then enter a team-matching phase, where they’ll be aligned with ",Back-End Engineer
Notion,Unknown,"Software Engineer, Fullstack, Early Career","About Us

Notion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.

In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays, Tuesdays, and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.

About The Role

As an Early Career Software Engineer at Notion, you’ll help shape core user experiences and accelerate how people discover value in Notion. You'll tackle meaningful challenges with increasing autonomy, crafting code that millions of users will experience. You'll take ownership of projects that matter, make critical technical decisions, and contribute your unique perspective to our product vision. Working alongside passionate experts across design, product, and data, you'll help shape the future of how people work.

We’re hiring early career engineers to join us across several teams at Notion. Your recruiter will partner with you to find the team that best aligns with your interests and where you can make the highest impact.

What You’ll Achieve


Plan, build, and ship product features from conception to launch, then iterate based on insights and user feedback.
Improve performance, reliability, and quality of key experiences used by millions of users and thousands of organizations.
Run experiments that drive activation, retention, collaboration, and ",Back-End Engineer
Baton Corporation,Unknown,Junior Full Stack Engineer ($250k - $300k salary),"Who We Are

Baton Corporation is the development company that builds and operates the entire technology stack behind pump.fun, the largest memecoin launchpad in production today. The systems are low latency, high throughput, live under constant load, and break if you get them wrong.

What You’ll Do

As a Full Stack Engineer at Baton, you’ll work on production systems operating at real scale, alongside a team of highly experienced engineers. This is a hands-on role with immediate responsibility and fast feedback.


Build, ship, and iterate on production features that reach hundreds of thousands of users
Work across the stack, from backend services and data pipelines to frontend interfaces, gaining deep exposure to how large systems are built and operated
Learn to design for performance, reliability, and scalability by working on systems under real-world load
Prototype quickly, test ideas with real users, and refine based on data rather than opinion
Tackle ambiguous, technically challenging problems and learn to reason from first principles with guidance from experienced engineers
Collaborate closely with a small, high-caliber team where code quality, clarity of thought, and execution speed matter
Own features end to end, from initial idea and implementation through deployment, monitoring, and iteration


Who You Are


An exceptional early-career engineer with a strong foundation in computer science and the ability to ramp quickly on new systems and codebases
Studied at a top university or demonstrated equivalent ability through competitive programming, Olympiads, open-source contributions, or substantial personal projects
Comfortable working across the stack, with hands-on experience in technologies like TypeScript, React, Next.js, and Node.js (or adjacent modern framewo",Back-End Engineer
Bestow,Unknown,Backend Software Engineer II (Python),"About Bestow

Life insurance is one of the world's most important products. It's also one of the hardest to build, distribute, and modernize. Bestow exists to change that.

Bestow is a leading vertical technology platform serving some of the largest and most innovative life insurers. Our platform unifies the fragmented, legacy value chain, enabling carriers to launch products in weeks instead of years. Carriers choose us to scale and operate at unprecedented speed, powered by AI and automation.

Bestow isn't selling policies. We're building the infrastructure that helps an entire industry move faster, reach more people, and deliver on its promise.

Backed by leading investors (Goldman Sachs, Hedosophia, NEA, Valar, 8VC) and trusted by major carriers, Bestow is powered by a team that moves with precision, purpose, and heart. If you want to help reimagine a centuries-old industry with lasting impact, join us.

Bestow offers flexible remote/hybrid work, meaningful benefits, equity, and substantial growth opportunities.

Bestow participates in the E-Verify Program.

About The Team

The Engineering team is responsible for all technology for Bestow and the Bestow Platform. We serve employees, consumers, and enterprise customers. In addition to building software, we integrate and manage many third-party products used by employees and as part of the platform. Our major functional teams are product engineering, infrastructure, IT, data & analytics, and program management. Engineering works closely with product management and design to define and prioritize the product roadmap.

As a Backend Software Engineer II on the Origination Group Engineering Team, you will work closely with the Enrollment Product Managers, Underwriters, and our external partners to develop and support solu",Back-End Engineer
